tt,ID,test,swap,FI,pval_bl,pval_FI
bbd,73233,fisher,1,4,0.0018381418166046014,0.10318840579710126
bbd,73233,fisher,2,3,0.0018381418166046014,0.05423789653161034
bbd,73233,chi2,1,5,0.0006486972209951673,0.09426430684121058
bbd,73233,chi2,2,4,0.0006486972209951673,0.053019142969531384
bbd,73233,chi2_cont,1,4,0.0024337498079865395,0.10553221910204658
bbd,73233,chi2_cont,2,3,0.0024337498079865395,0.05620966783119137
bbd,35727,fisher,1,3,0.013482186179548755,0.08283061347240456
bbd,35727,fisher,2,3,0.013482186179548755,0.0634219659423788
bbd,35727,chi2,1,3,0.007526315166457882,0.05165781777373568
bbd,35727,chi2,2,4,0.007526315166457882,0.061044689505989104
bbd,35727,chi2_cont,1,3,0.014289799060615175,0.08367405744411041
bbd,35727,chi2_cont,2,3,0.014289799060615175,0.06467168750236404
bbd,34442,fisher,1,-4,0.08628034111932661,0.044426341678967085
bbd,34442,fisher,2,-4,0.08628034111932661,0.044426341678967085
bbd,34442,chi2,1,-3,0.07416923979737212,0.04630111570449187
bbd,34442,chi2,2,-3,0.07416923979737212,0.04630111570449187
bbd,34442,chi2_cont,1,-4,0.09205114963173641,0.049882657784654075
bbd,34442,chi2_cont,2,-4,0.09205114963173641,0.049882657784654075
bbd,70209,fisher,1,18,6.730959359245009e-09,0.07787598367103549
bbd,70209,fisher,2,19,6.730959359245009e-09,0.06642874853765568
bbd,70209,chi2,1,18,9.847461617413443e-09,0.06602757081470946
bbd,70209,chi2,2,19,9.847461617413443e-09,0.05348148750397738
bbd,70209,chi2_cont,1,17,3.4917638192499896e-08,0.06834661275785074
bbd,70209,chi2_cont,2,18,3.4917638192499896e-08,0.057326553327381284
bbd,33903,fisher,1,1,0.032968730688419184,0.075516005438141
bbd,33903,fisher,2,1,0.032968730688419184,0.1057718452601655
bbd,33903,chi2,1,2,0.0198205578099005,0.1061164156905903
bbd,33903,chi2,2,1,0.0198205578099005,0.06566319190946501
bbd,33903,chi2_cont,1,-1,0.05726641126225493,0.024463932481596215
bbd,33903,chi2_cont,2,-1,0.05726641126225493,0.024463932481596215
bbd,26684,fisher,1,-1,0.06470290944726034,0.03945196652006103
bbd,26684,fisher,2,-1,0.06470290944726034,0.03945196652006103
bbd,26684,chi2,1,-1,0.05323621336749369,0.03193005667043072
bbd,26684,chi2,2,-1,0.05323621336749369,0.03193005667043072
