tt,plum,stat,pval,df
bbd,1,0.9528273849357122,0.34257355656411903,121.22462141512594
bbd,2,1.2864957010818083,0.20091249026434554,112.44824169404673
bbd,3,1.4678030327383578,0.1452849116020738,100.35742420985734
