feature,test,swap,msr,tt,metric,stat,pval,fdr
num,fisher,2,FI,neg,IF,-0.41805619736133554,0.004268033709676058,0.06828853935481692
num,fisher,2,FI,neg,citation,0.10811323439928557,0.479620377483827,0.9616938232332884
num,fisher,2,FI,neg,h_index,0.058247827190868406,0.7072377091716595,0.9616938232332884
num,fisher,2,FI,neg,plum1,-0.1832172357365745,0.22831821662757268,0.9616938232332884
num,fisher,2,FI,neg,plum2,-0.13975511146884093,0.3714136262662415,0.9616938232332884
num,fisher,2,FI,neg,wcitation,0.16729638939288644,0.3294366445504655,0.9616938232332884
num,fisher,2,FI,phn,IF,-0.07019492140428141,0.42924941331833877,0.9300403955230673
num,fisher,2,FI,phn,citation,-0.04790582303981862,0.5898045724193374,0.9391421547811938
num,fisher,2,FI,phn,h_index,-0.12591722818314663,0.15505800625791616,0.7359775295516888
num,fisher,2,FQ,bbd,IF,-0.20955712692193906,0.018520649453985624,0.1662406359079663
num,fisher,2,FQ,bbd,citation,0.014745069182252947,0.8698316298572633,0.9862518803840118
num,fisher,2,FQ,bbd,h_index,0.054006929278923844,0.548091054580063,0.8769456873281009
num,fisher,2,FQ,bbd,plum1,-0.0015505622730285667,0.9862518803840118,0.9862518803840118
num,fisher,2,FQ,bbd,plum2,0.002872239729910423,0.9745362032575313,0.9862518803840118
num,fisher,2,FQ,bbd,wcitation,-0.04553704340557948,0.6126316217327026,0.8792335658973448
num,fisher,2,FQ,neg,IF,-0.09232066062837004,0.5463963722266064,0.9888565562939393
num,fisher,2,FQ,neg,citation,-0.003659623045883557,0.9809652946591305,0.9888565562939393
num,fisher,2,FQ,neg,h_index,0.12425917205708027,0.42160768902274226,0.9888565562939393
num,fisher,2,FQ,neg,plum1,0.0021423158192472604,0.9888565562939393,0.9888565562939393
num,fisher,2,FQ,neg,plum2,-0.09112904246066283,0.5611219883455107,0.9888565562939393
num,fisher,2,FQ,neg,wcitation,0.14458606926741338,0.400160784748808,0.9888565562939393
num,fisher,2,FQ,phn,IF,0.0219663532267435,0.8048376099406178,0.9135334846264513
num,fisher,2,FQ,phn,citation,0.056405386541314634,0.5254856917154253,0.9135334846264513
num,fisher,2,FQ,phn,h_index,-0.04703579939487876,0.5965853695267919,0.9135334846264513
fac,chi2,1,FI,bbd,blinding,14.70927057039542,0.002082731335384706,0.008330925341538824
fac,chi2,1,FI,bbd,concealment,19.28684080476212,0.00023848870622918112,0.001907909649833449
fac,chi2,1,FI,bbd,funding,0.002061059764518859,0.9637893608892574,0.9637893608892574
fac,chi2,1,FI,bbd,geo,29.426956629863536,0.4430023669603244,0.6443670792150173
fac,chi2,1,FI,bbd,journal,49.52755029330447,0.682963535150184,0.8534079176079981
fac,chi2,1,FI,bbd,outcome,0.7998680933632013,0.37113281036233436,0.593812496579735
fac,chi2,1,FI,bbd,power_just,0.8716487553650969,0.35049926754801985,0.593812496579735
fac,chi2,1,FI,bbd,statistician,2.2309178770407208,0.13527346557113007,0.3607292415230135
fac,chi2,1,FI,bbd,study_design,14.531000181247025,0.00013787203521656622,0.001907909649833449
fac,chi2,1,FI,bbd,type_random,17.978903829644278,0.0012458687676863193,0.006644633427660369
fac,chi2,1,FI,neg,blinding,0.005109282916778323,0.943016339879546,0.9780535773685143
fac,chi2,1,FI,neg,concealment,0.0007567577897271828,0.9780535773685143,0.9780535773685143
fac,chi2,1,FI,neg,funding,0.04256762567241374,0.8365415563953968,0.9780535773685143
fac,chi2,1,FI,neg,geo,10.522121469817254,0.8803017437665388,0.9780535773685143
fac,chi2,1,FI,neg,journal,17.89534898250033,0.3300606479102629,0.939514365283153
fac,chi2,1,FI,neg,outcome,1.3140626045080663,0.2516604139825709,0.939514365283153
fac,chi2,1,FI,neg,power_just,0.04256762567241374,0.8365415563953968,0.9780535773685143
fac,chi2,1,FI,neg,statistician,0.16150318683310813,0.6877763233843998,0.9780535773685143
fac,chi2,1,FI,neg,study_design,0.0007567577897271828,0.9780535773685143,0.9780535773685143
fac,chi2,1,FI,neg,type_random,0.2543629450977647,0.8805738581141136,0.9780535773685143
fac,chi2,1,FI,phn,blinding,0.09471696977893558,0.9537454329733395,0.9537454329733395
fac,chi2,1,FI,phn,concealment,0.5519703556617986,0.45751372369937215,0.8844690564675142
fac,chi2,1,FI,phn,funding,0.322132429782749,0.5703289421833998,0.8844690564675142
fac,chi2,1,FI,phn,geo,20.35377326039361,0.7280303665887125,0.8844690564675142
fac,chi2,1,FI,phn,journal,28.779179675636716,0.5807328144291822,0.8844690564675142
fac,chi2,1,FI,phn,outcome,1.178213439728475,0.27772000401732777,0.8844690564675142
fac,chi2,1,FI,phn,power_just,0.053886769397340994,0.8164329752007824,0.8844690564675142
fac,chi2,1,FI,phn,statistician,0.23249069653582757,0.6296831330531765,0.8844690564675142
fac,chi2,1,FI,phn,study_design,1.1838499332010102,0.2765736170941505,0.8844690564675142
fac,chi2,1,FI,phn,type_random,1.677188028512562,0.7948571568318294,0.8844690564675142
fac,chi2,1,FQ,bbd,blinding,3.630599341191812,0.3042146399925705,0.8818915954795186
fac,chi2,1,FQ,bbd,concealment,7.64854889815657,0.05386196699974678,0.3678335001621947
fac,chi2,1,FQ,bbd,funding,2.8397525373336423,0.09195837504054867,0.3678335001621947
fac,chi2,1,FQ,bbd,geo,27.20640989584157,0.5605696843215131,0.8818915954795186
fac,chi2,1,FQ,bbd,journal,42.9158648207936,0.8818915954795186,0.8818915954795186
fac,chi2,1,FQ,bbd,outcome,0.2624191006859951,0.6084630501142464,0.8818915954795186
fac,chi2,1,FQ,bbd,power_just,0.2868395039119254,0.5922530054893897,0.8818915954795186
fac,chi2,1,FQ,bbd,statistician,4.338458174100964,0.03726065118628259,0.3678335001621947
fac,chi2,1,FQ,bbd,study_design,0.18738557742833403,0.6651015450840233,0.8818915954795186
fac,chi2,1,FQ,bbd,type_random,2.0572343462307856,0.7252326292304899,0.8818915954795186
fac,chi2,1,FQ,neg,blinding,0.0,1.0,1.0
fac,chi2,1,FQ,neg,concealment,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,1,FQ,neg,funding,0.1014960785605953,0.7500416147183715,1.0
fac,chi2,1,FQ,neg,geo,13.710756575747032,0.6874601044915685,1.0
fac,chi2,1,FQ,neg,journal,15.755332052702382,0.4701634674125208,1.0
fac,chi2,1,FQ,neg,outcome,0.18791273973503933,0.6646595334203794,1.0
fac,chi2,1,FQ,neg,power_just,0.0020713485420489034,0.963699154168804,1.0
fac,chi2,1,FQ,neg,statistician,0.00994626205406548,0.9205579298114296,1.0
fac,chi2,1,FQ,neg,study_design,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,1,FQ,neg,type_random,0.298731105175195,0.861254223637777,1.0
fac,chi2,1,FQ,phn,blinding,1.4929373793390388,0.474037574339909,0.8603102686748233
fac,chi2,1,FQ,phn,concealment,0.16547378568889767,0.6841661308121652,0.8603102686748233
fac,chi2,1,FQ,phn,funding,0.4000326503823593,0.5270723953332608,0.8603102686748233
fac,chi2,1,FQ,phn,geo,20.217266432718535,0.7353374443761898,0.8603102686748233
fac,chi2,1,FQ,phn,journal,34.18419153056516,0.31724452286567145,0.8603102686748233
fac,chi2,1,FQ,phn,outcome,2.4087234905761488,0.12066072116999901,0.8603102686748233
fac,chi2,1,FQ,phn,power_just,0.6773491372431588,0.41050103638243696,0.8603102686748233
fac,chi2,1,FQ,phn,statistician,1.8396791467766886,0.1749885578608373,0.8603102686748233
fac,chi2,1,FQ,phn,study_design,0.21480187458080957,0.6430294977103732,0.8603102686748233
fac,chi2,1,FQ,phn,type_random,1.30627335350161,0.8603102686748233,0.8603102686748233
fac,chi2,2,FI,bbd,blinding,12.940058489830193,0.004768041884654777,0.01907216753861911
fac,chi2,2,FI,bbd,concealment,16.555788751709635,0.0008720822896938736,0.006976658317550989
fac,chi2,2,FI,bbd,funding,0.012909725750972717,0.9095382601108339,0.916054975060483
fac,chi2,2,FI,bbd,geo,26.970909408682353,0.5732746838832723,0.8240215206193288
fac,chi2,2,FI,bbd,journal,51.83741011763237,0.5962277698980106,0.8240215206193288
fac,chi2,2,FI,bbd,outcome,0.2486657417680029,0.6180161404644966,0.8240215206193288
fac,chi2,2,FI,bbd,power_just,1.208602990443202,0.2716089726440306,0.5373599560789304
fac,chi2,2,FI,bbd,statistician,2.2099377849497697,0.13712420102292708,0.36566453606113886
fac,chi2,2,FI,bbd,study_design,12.321713167759174,0.000447719599117193,0.006976658317550989
fac,chi2,2,FI,bbd,type_random,16.50890868896897,0.0024070596030350785,0.012837651216187086
fac,chi2,2,FI,neg,blinding,0.0051089412044377155,0.9430182422214974,0.9780543110915711
fac,chi2,2,FI,neg,concealment,0.000756707177247934,0.9780543110915711,0.9780543110915711
fac,chi2,2,FI,neg,funding,0.042564778720455984,0.8365469454752543,0.9780543110915711
fac,chi2,2,FI,neg,geo,10.521417743127191,0.880335036361908,0.9780543110915711
fac,chi2,2,FI,neg,journal,17.999764161882943,0.323910774716972,0.9334572880614725
fac,chi2,2,FI,neg,outcome,1.3139747191011304,0.25167626986951014,0.9334572880614725
fac,chi2,2,FI,neg,power_just,0.042564778720455984,0.8365469454752543,0.9780543110915711
fac,chi2,2,FI,neg,statistician,0.16149238538936594,0.6877862143749885,0.9780543110915711
fac,chi2,2,FI,neg,study_design,0.000756707177247934,0.9780543110915711,0.9780543110915711
fac,chi2,2,FI,neg,type_random,0.25434593312979403,0.8805813482931043,0.9780543110915711
fac,chi2,2,FI,phn,blinding,0.06267033357987749,0.9691506915080715,0.9691506915080715
fac,chi2,2,FI,phn,concealment,0.6610357837775809,0.4161945106727417,0.9400878655017729
fac,chi2,2,FI,phn,funding,0.023275709967316736,0.8787422821693834,0.9519708056834987
fac,chi2,2,FI,phn,geo,21.058978679313057,0.6893163783758108,0.9400878655017729
fac,chi2,2,FI,phn,journal,24.362943173433884,0.7954589631168848,0.9400878655017729
fac,chi2,2,FI,phn,outcome,1.36554422646966,0.2425789249668852,0.9400878655017729
fac,chi2,2,FI,phn,power_just,0.06800885577025458,0.794258254085642,0.9400878655017729
fac,chi2,2,FI,phn,statistician,0.14153489201355696,0.7067598649245963,0.9400878655017729
fac,chi2,2,FI,phn,study_design,0.9476958006135826,0.3303065057309872,0.9400878655017729
fac,chi2,2,FI,phn,type_random,2.525341049615492,0.6401039070920491,0.9400878655017729
fac,chi2,2,FQ,bbd,blinding,2.2724689515620518,0.517815632676061,0.9142973839155198
fac,chi2,2,FQ,bbd,concealment,6.17569603115671,0.10336818898193137,0.551297007903634
fac,chi2,2,FQ,bbd,funding,1.9973260155737556,0.15757698328289024,0.630307933131561
fac,chi2,2,FQ,bbd,geo,28.6787806039483,0.48188480327377736,0.9142973839155198
fac,chi2,2,FQ,bbd,journal,54.4489513647571,0.495629696051064,0.9142973839155198
fac,chi2,2,FQ,bbd,outcome,0.0656049719683236,0.7978468476807392,0.9142973839155198
fac,chi2,2,FQ,bbd,power_just,0.15425637371922368,0.6945005533750004,0.9142973839155198
fac,chi2,2,FQ,bbd,statistician,4.76239482275011,0.029088049061725237,0.2327043924938019
fac,chi2,2,FQ,bbd,study_design,0.06417805895942502,0.8000102109260798,0.9142973839155198
fac,chi2,2,FQ,bbd,type_random,2.1247055990979704,0.7128349779831566,0.9142973839155198
fac,chi2,2,FQ,neg,blinding,0.0,1.0,1.0
fac,chi2,2,FQ,neg,concealment,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,2,FQ,neg,funding,0.1014960785605953,0.7500416147183715,1.0
fac,chi2,2,FQ,neg,geo,13.710756575747032,0.6874601044915685,1.0
fac,chi2,2,FQ,neg,journal,15.971212600751924,0.45497177703766567,1.0
fac,chi2,2,FQ,neg,outcome,0.18791273973503933,0.6646595334203794,1.0
fac,chi2,2,FQ,neg,power_just,0.0020713485420489034,0.963699154168804,1.0
fac,chi2,2,FQ,neg,statistician,0.00994626205406548,0.9205579298114296,1.0
fac,chi2,2,FQ,neg,study_design,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,2,FQ,neg,type_random,0.298731105175195,0.861254223637777,1.0
fac,chi2,2,FQ,phn,blinding,1.5915575818054815,0.45122968447489975,0.6938692907720132
fac,chi2,2,FQ,phn,concealment,0.1266919295682347,0.7218869236990314,0.8531390916443099
fac,chi2,2,FQ,phn,funding,0.9080995106445579,0.3406191778042974,0.6938692907720132
fac,chi2,2,FQ,phn,geo,24.63342757167092,0.4830606458780389,0.6938692907720132
fac,chi2,2,FQ,phn,journal,34.93298267110795,0.28646495649964776,0.6938692907720132
fac,chi2,2,FQ,phn,outcome,2.542074887522206,0.11084903261771799,0.6938692907720132
fac,chi2,2,FQ,phn,power_just,0.7457329881263293,0.3878305638240527,0.6938692907720132
fac,chi2,2,FQ,phn,statistician,2.485480428499082,0.11490125771953802,0.6938692907720132
fac,chi2,2,FQ,phn,study_design,0.3872554213093018,0.533745608286164,0.6938692907720132
fac,chi2,2,FQ,phn,type_random,1.2769878961426062,0.8652676027961494,0.8652676027961494
fac,chi2_cont,1,FI,bbd,blinding,14.040335589733523,0.0028507600763141715,0.011403040305256686
fac,chi2_cont,1,FI,bbd,concealment,18.6722374305486,0.0003195504972712169,0.0025564039781697354
