tt,ID,pval_FI,pval_chi,FI,FI2
bbd,73233,0.0018381418166046014,0.0024337498079865395,3.0,4.0
bbd,35727,0.013482186179548755,0.014289799060615175,3.0,3.0
bbd,34442,0.08628034111932661,0.09205114963173641,4.0,4.0
bbd,70209,6.730959359245009e-09,3.4917638192499896e-08,19.0,18.0
bbd,33903,0.032968730688419184,0.05726641126225493,1.0,1.0
bbd,26684,0.06470290944726034,0.08915210311589905,1.0,1.0
bbd,43715,4.696998962116357e-07,2.282781363971231e-07,29.0,16.0
bbd,943,0.009220570313398513,0.010414994659063273,2.0,2.0
bbd,69,0.001101618882460982,0.001429680231267784,5.0,6.0
bbd,66637,0.0008250112507805208,0.0032621235870935604,3.0,5.0
bbd,31616,0.13414905450500572,0.17608585548369862,2.0,2.0
bbd,31578,0.015205766100906742,0.027881323791559443,2.0,2.0
bbd,30616,0.004812188481882886,0.0066566842588670905,4.0,8.0
bbd,823,0.0013838150779731154,0.0017426499625912868,7.0,9.0
bbd,30695,0.0005766146645734215,0.0011253843248198961,7.0,10.0
bbd,34020,0.0040623154794757615,0.004546524632569107,4.0,4.0
bbd,35591,2.287347270128603e-06,6.373004990165132e-06,16.0,21.0
bbd,9830,5.052670005565486e-06,4.600809904234684e-06,12.0,23.0
bbd,30643,5.596126614755737e-06,4.8349782128333055e-06,21.0,15.0
bbd,45362,7.339831750556132e-06,1.859045103649914e-05,8.0,14.0
bbd,34126,0.0007493937745446077,0.0011749151011812313,9.0,12.0
bbd,33896,0.00011907597046915916,0.0003234799467258453,4.0,5.0
bbd,762,0.0036084778001964626,0.007562847214928279,2.0,4.0
bbd,34137,0.015583165759946822,0.02251700642766328,2.0,2.0
bbd,35048,1.7836752862546238e-27,2.8860105306951757e-24,66.0,54.0
bbd,65819,1.5769562878849133e-05,1.4193804449021214e-05,13.0,26.0
bbd,35002,0.0018051886250243752,0.0021830447373622493,10.0,4.0
bbd,24838,3.0033823768894896e-05,3.442724450801358e-05,16.0,16.0
bbd,35024,0.6337043557690194,0.6282986371759213,5.0,5.0
bbd,674,0.13193473193473185,0.13361440253771584,1.0,1.0
bbd,1302,0.8005261763519647,0.8308083825469327,7.0,7.0
bbd,23434,0.0226043868819235,0.025061844343883623,1.0,2.0
bbd,58335,6.482718678589715e-06,4.702469177448602e-05,7.0,10.0
bbd,30219,0.0056734371283518915,0.007135587470518533,4.0,4.0
bbd,31717,1.2901966142662602e-10,9.004415556866587e-09,17.0,22.0
bbd,35588,0.034467690496987405,0.046661140135045374,1.0,1.0
bbd,34443,0.00011704337168205377,0.00013152823665354103,12.0,12.0
bbd,35779,0.013897335944836869,0.014898585271056105,2.0,2.0
bbd,35089,0.034106001281340295,0.04134672401574047,1.0,1.0
bbd,60784,3.031634673520971e-22,1.8169244197402468e-24,116.0,39.0
bbd,43750,0.0013405269330570978,0.0026128775895055594,5.0,6.0
bbd,34906,0.23317140874392703,0.44961570036662,3.0,3.0
bbd,35767,0.020088839615926682,0.03052379280249978,1.0,3.0
bbd,26279,5.367240736785675e-10,3.33397875270714e-10,10.0,32.0
bbd,791,0.006321335497211644,0.00807089657889404,6.0,6.0
bbd,35747,0.8137680560513947,0.8932024767587979,6.0,6.0
bbd,68091,1.3791916557505613e-09,5.035108633549492e-09,19.0,25.0
bbd,30945,2.751492060856885e-08,6.560644665602147e-08,17.0,24.0
bbd,43635,0.015938849318934408,0.023684276824181335,2.0,2.0
bbd,69413,0.0026138131918668718,0.003039201275222257,6.0,5.0
bbd,34925,0.0037581864579181753,0.01073741887468455,2.0,6.0
bbd,3228,1.469803185435009e-07,2.1633939110407248e-07,29.0,26.0
bbd,6894,0.008523278737436057,0.01121527424803197,6.0,6.0
bbd,16898,0.05176650005841227,0.10156576313576203,2.0,2.0
bbd,27569,0.008578508150469101,0.0093747684594349,3.0,3.0
bbd,45804,0.015331621697389865,0.017072661093788417,2.0,2.0
bbd,23065,0.0009734740584382561,0.0017854545754075815,6.0,8.0
bbd,34770,2.6565535421330326e-05,5.173395956291199e-05,11.0,13.0
bbd,24930,0.015260111879544114,0.016703403847161555,2.0,2.0
bbd,35210,0.005817916373100015,0.006349724430444603,3.0,3.0
bbd,27398,0.00016218412985342159,0.0007595768965600344,5.0,19.0
bbd,35618,0.0006699618720620513,0.0015574696085356664,4.0,9.0
bbd,43614,1.285949380862299e-05,6.337494056609703e-05,10.0,22.0
bbd,40,0.10750852951647084,0.10911694742917352,2.0,2.0
bbd,44146,6.800623826076942e-05,0.00037070267781064484,5.0,8.0
bbd,578,6.0955370490594e-07,2.546068702941784e-06,14.0,21.0
bbd,17852,3.055801088309949e-10,1.330203673718746e-08,19.0,58.0
bbd,16174,0.0033162181639060304,0.0036718751406877898,6.0,8.0
bbd,2978,0.02562967700143249,0.02888754881956584,3.0,2.0
bbd,2332,0.015260268534735036,0.02225454467645839,12.0,2.0
bbd,35008,0.0054925508030091285,0.006163781540609986,11.0,6.0
bbd,6577,0.19921198318039474,0.23755944431040538,2.0,2.0
bbd,35838,0.013815527198005032,0.018996379385244726,2.0,3.0
bbd,35847,5.549644447826066e-06,4.712376542668977e-05,7.0,13.0
bbd,21436,0.07314088047099263,0.0751883367414447,1.0,1.0
bbd,48843,4.579839158254699e-06,2.481275077715397e-06,22.0,8.0
bbd,27543,0.019191671538033982,0.020603457881631166,2.0,3.0
bbd,35081,0.01891825409445182,0.01957450477599844,2.0,2.0
bbd,28003,2.203333243670458e-05,0.0001112099729833984,6.0,9.0
bbd,3246,0.0006559609740094587,0.0014659497597762354,5.0,7.0
bbd,31539,0.006189530259234494,0.008424252992689509,2.0,3.0
bbd,35791,7.433453117431071e-05,0.00013492491031324064,9.0,11.0
bbd,59422,0.0010507098490088,0.0017402221964892069,5.0,6.0
bbd,34807,0.07671693537675787,0.09576697453103412,2.0,2.0
bbd,69809,5.102855027037416e-07,7.324913288027763e-07,17.0,11.0
bbd,34240,0.06096826189672508,0.06870680947045138,1.0,1.0
bbd,24008,0.0008983415537623938,0.001992493725240754,5.0,8.0
bbd,19604,0.0021085446155407308,0.003016942257195703,4.0,5.0
bbd,41142,0.022723646407646965,0.028328434893814505,2.0,2.0
bbd,35071,4.291331124004897e-05,4.692716534848151e-05,26.0,22.0
bbd,34132,0.007784641487638876,0.012755294007230175,2.0,3.0
bbd,66007,0.0006996501749125427,0.002012642696764815,7.0,3.0
bbd,22797,2.5274632642039563e-07,7.350928536856304e-07,17.0,16.0
bbd,1112,0.012427067770772154,0.013407961198500533,3.0,3.0
bbd,34688,0.05770138584457221,0.06556464229142778,1.0,1.0
bbd,34187,0.01559635298183651,0.025755389395857982,2.0,2.0
bbd,888,0.001800645413421382,0.002291828765431477,4.0,6.0
bbd,44929,0.0013476422158533166,0.0026710961997760286,5.0,6.0
bbd,39623,0.0006900501889487269,0.0012358198094429365,5.0,7.0
bbd,31326,0.18181818181818185,0.24030234125907915,2.0,2.0
bbd,35004,1.1776114330853214e-27,3.274283981444077e-29,59.0,399.0
bbd,30670,0.025381023320388413,0.03095323538140912,1.0,2.0
bbd,30266,0.00012196791285910788,0.0001342113727385756,18.0,37.0
bbd,527,3.6780803877225967e-37,4.7493833124476476e-37,500.0,500.0
bbd,34369,0.001583116177230724,0.003341978050412756,4.0,7.0
bbd,34861,0.011361477938033826,0.016216401438007122,2.0,3.0
bbd,44353,0.021268350685180862,0.027526395159446975,5.0,2.0
bbd,34151,0.0013890526605862881,0.007547008276866972,2.0,11.0
bbd,31080,0.0008291080877480926,0.00020053499835582617,29.0,4.0
bbd,34852,0.00019659376561963042,0.00040174027103878466,15.0,8.0
bbd,30687,0.025218716961482958,0.028391428759796604,2.0,3.0
