tt,ID,num1,num2,num_out1,num_out2
phn,1973,26,26,3,9
phn,1461,146,141,80,125
phn,4737,16,16,9,2
phn,1432,19,48,8,6
phn,944,33,33,30,18
phn,449,202,197,182,159
phn,18,15,15,6,0
phn,31,39,38,6,17
phn,34,55,22,8,8
phn,1201,56,43,33,17
phn,1775,85,113,31,76
phn,252,300,212,27,60
phn,967,7,5,7,1
phn,971,17,14,5,0
phn,1286,117,22,29,9
phn,1328,4,6,4,0
phn,1950,38,25,9,12
phn,3329,77,51,14,37
phn,268,117,8,87,4
phn,17,12,37,9,2
phn,1398,69,156,15,123
phn,565,144,171,27,69
phn,2951,56,310,11,131
phn,259,185,390,6,30
phn,424,20,20,4,9
phn,613,99,32,50,11
phn,3124,3763,66510,265,6042
phn,541,500,500,319,375
phn,67,2556,1997,123,21
phn,410,83,83,4,0
phn,2240,66,63,63,41
phn,618,42,41,10,2
phn,968,136,231,6,24
phn,3986,26,19,1,6
phn,2546,27,24,26,12
phn,2405,11,13,0,3
phn,1392,51,49,29,0
phn,2130,51,38,12,17
phn,4011,228,150,2,18
phn,1980,29,29,6,19
phn,708,46,48,12,33
phn,2078,68,96,60,95
phn,1473,28,28,20,12
phn,3983,23,24,9,24
phn,2745,50,41,45,40
phn,3397,11,30,11,0
phn,369,25,19,19,8
phn,20,451,311,13,0
phn,929,19,20,2,10
phn,5604,98,138,32,100
phn,720,69,68,31,54
phn,473,56,56,6,0
phn,432,273,1260,32,131
phn,311,52,59,36,27
phn,1133,45,45,3,6
phn,615,57,57,25,49
phn,1340,20,20,18,10
phn,1037,7,9,5,7
phn,2350,11,9,10,2
phn,1370,115,86,27,57
phn,943,144,142,29,13
phn,519,203,114,176,78
phn,511,44,47,20,10
phn,5636,35,48,6,19
neg,1027,31,34,28,27
neg,2874,49,47,12,11
neg,2762,73,80,16,23
neg,1914,15,16,2,2
neg,402,61,9,0,1
neg,999,8,24,1,2
neg,998,154,66,13,10
neg,902,24,60,3,3
neg,2495,8,8,1,0
neg,997,17,22,1,0
neg,996,33,22,0,2
neg,2674,92,88,2,3
neg,1788,36,29,7,5
neg,2373,12,16,2,4
neg,925,21,25,2,1
neg,234,64,17,0,0
neg,324,40,52,6,18
neg,4326,18,18,1,0
neg,1261,29,23,2,1
neg,1954,58,56,50,40
neg,1452,20,14,2,2
neg,434,20,20,7,2
neg,110,30,10,2,0
neg,1156,21,23,1,2
neg,2213,17,16,2,2
neg,1433,8,8,1,0
neg,354,19,19,1,1
neg,102,305,302,81,75
neg,2699,57,74,10,15
neg,4702,24,23,5,4
neg,31766,82,25,18,5
neg,21067,31,56,7,13
neg,35728,193,59,76,28
neg,35053,23,24,11,11
neg,35708,20,76,7,32
neg,31032,44,53,17,23
neg,35826,13,11,0,0
neg,30393,37,33,22,26
neg,486,20,20,15,18
neg,34249,20,20,15,13
neg,27845,20,20,15,15
neg,60645,50,50,10,4
neg,342,34,44,19,25
neg,842,26,25,13,12
neg,34449,12,12,1,0
