tt,variable,mean,se,median,l25,l75,min,max
bbd,FI,12.412698412698413,46.12821606631149,4.0,2.0,10.0,0.0,500.0
bbd,FQ,0.05559610698773587,0.059090822889481226,0.0378287663695389,0.01673728813559322,0.07557904659305144,0.0,0.3178082191780822
neg,FI,6.2,4.042951217298392,6.0,4.0,8.0,1.0,18.0
neg,FQ,0.11077850054647201,0.0687460008986606,0.1111111111111111,0.05,0.15789473684210525,0.008771929824561403,0.25
phn,FI,8.348837209302326,15.65080427385777,2.0,1.0,10.0,0.0,112.0
phn,FQ,0.04720716103669796,0.07112806285173008,0.020833333333333332,0.0027247956403269754,0.05263157894736842,0.0,0.5121951219512195
